,0
0,5.0
1,4.997375287937234
2,4.989504513373868
3,4.97639725232527
4,4.958069083642583
5,4.9345415662779475
6,4.905842196494693
7,4.872004353110136
8,4.833067233144335
9,4.7890757748574195
10,4.740080574326897
11,4.686137802073943
12,4.627309063532625
13,4.563661318513449
14,4.4952667498058885
15,4.422202633281294
16,4.344551200436049
17,4.262399499700094
18,4.1758392455671745
19,4.0849666653315415
20,3.9898823532979426
21,3.8906911067142405
22,3.7875017482443023
23,3.680426961466817
24,3.5695831592809193
25,3.4550902836122876
26,3.3370716478171865
27,3.2156537777817267
28,3.0909662301710163
29,2.9631414454518534
30,2.8323145721292797
31,2.6986233122105405
32,2.5622077636341607
33,2.4232102593878295
34,2.2817752240854503
35,2.1380490166972743
36,1.9921797891980029
37,1.8443173437987084
38,1.6946129918695445
39,1.5432194193390363
40,1.3902905565399755
41,1.23598144999279
42,1.0804481268998325
43,0.923847482666096
44,0.7663371575175588
45,0.6080754127642138
46,0.44922102269132025
47,0.28993315555660404
48,0.1303712599051065
49,-0.029305044077494735
50,-0.18893607849229624
51,-0.3483622176411739
52,-0.5074239982501793
53,-0.6659622327334934
54,-0.8238181200705488
55,-0.9808333592688714
56,-1.1368502647017298
57,-1.2917118825756961
58,-1.4452621097355018
59,-1.59734581490965
60,-1.7478089627603257
61,-1.8964987402447482
62,-2.0432636867783383
63,-2.187953827205396
64,-2.3304208077108948
65,-2.4705180357686367
66,-2.6081008224368647
67,-2.74302652906235
68,-2.875154716026866
69,-3.0043472950573666
70,-3.1304686843936933
71,-3.2533859658789614
72,-3.3729690450575998
73,-3.4890908116926487
74,-3.601627306542286
75,-3.7104578815701226
76,-3.8154653640950555
77,-3.916536225340069
78,-4.013560740721267
79,-4.106433153813345
80,-4.195051838250362
81,-4.279319455117865
82,-4.359143109805519
83,-4.434434503665352
84,-4.505110078768073
85,-4.571091162817747
86,-4.6323041044088855
87,-4.688680401990658
88,-4.7401568274940304
89,-4.786675540628285
90,-4.828184195079027
91,-4.864636035692081
92,-4.895989987446632
93,-4.922210732420429
94,-4.94326877690984
95,-4.959140511025449
96,-4.969808250763959
97,-4.975260271235609
98,-4.975490833760715
99,-4.970500196865738
100,-4.960294613109914
101,-4.944886316966206
102,-4.924293501194241
103,-4.898540281288957
104,-4.867656648027975
105,-4.831678409568044
106,-4.790647123057987
107,-4.744610015039488
108,-4.69361989216256
109,-4.637735042594883
110,-4.577019128442685
111,-4.51154106983393
112,-4.4413749210794276
113,-4.366599739573641
114,-4.287299449165654
115,-4.203562696209139
116,-4.115482700600178
117,-4.023157105165951
118,-3.926687817395242
119,-3.8261808494357696
120,-3.721746157723641
121,-3.613497477901874
122,-3.5015521599155255
123,-3.3860310025793776
124,-3.267058088415215
125,-3.144760618554603
126,-3.0192687474082582
127,-2.8907154224969522
128,-2.7592362228798235
129,-2.6249691987785573
130,-2.488054719608256
131,-2.3486353186999165
132,-2.206855541597284
133,-2.0628618038142865
134,-1.9168022427944185
135,-1.7688265780372205
136,-1.619085980144108
137,-1.467732934314109
138,-1.3149210995026925
139,-1.160805195484542
140,-1.0055408764352118
141,-0.8492845988565925
142,-0.6921935106308321
143,-0.5344253369254055
144,-0.3761382578960031
145,-0.21749079403051338
146,-0.05864170200653839
147,0.1002501402582307
148,0.2590258512567896
149,0.4175266480100833
150,0.5755939584499064
151,0.733069537939538
152,0.8897955784702604
153,1.045614821575667
154,1.2003706754338068
155,1.3539073327275517
156,1.5060698892990267
157,1.6567044666860133
158,1.8056583352894389
159,1.9527800449691848
160,2.0979195556216785
161,2.240928368011984
162,2.3816596619898998
163,2.519968437702039
164,2.6557116594059362
165,2.788748402399781
166,2.918940000374709
167,3.046150200633683
168,3.1702453171212808
169,3.2910943896838476
170,3.4085693418075755
171,3.5225451434458708
172,3.6328999722521984
173,3.7395153761044844
174,3.8422764389541175
175,3.9410719393867506
176,4.035794518430797
177,4.12634083205352
178,4.2126117200245154
179,4.294512362682463
180,4.371952417504854
181,4.444846179328413
182,4.513112722215715
183,4.576676040235988
184,4.6354651750574805
185,4.689414340225577
186,4.73846304634152
187,4.782556205977419
188,4.8216442344586685
189,4.855683144861372
190,4.88463462902858
191,4.908466129366462
192,4.927150904180555
193,4.940668076567565
194,4.9490026728613765
195,4.952145655531894
196,4.950093940231714
197,4.942850400269982
198,4.9304238601388946
199,4.912829077680665
200,4.8900867184142776
201,4.862223312514455
