,t,x
0,0.0,13.771945559553528
1,0.0033333703707818974,13.677121949553527
2,0.006666740741563795,13.592936769553528
3,0.010000111112345693,13.543054262053527
4,0.01333348148312759,13.465083377053528
5,0.016666851853909488,13.359854497053528
6,0.020000222224691385,13.289814212053527
7,0.023333592595473282,13.210541142053529
8,0.02666696296625518,13.036025757053526
9,0.030000333337037076,12.867080444553528
10,0.033333703707818976,12.788846194553527
11,0.03666707407860087,12.808964597053528
12,0.04000044444938277,12.676738649553528
13,0.043333814820164664,12.462717654553527
14,0.046667185190946564,12.385903689553526
15,0.05000055556172846,12.289176394553527
16,0.05333392593251036,12.142826907053527
17,0.05666729630329226,11.967151854553528
18,0.06000066667407415,11.746599489553528
19,0.06333403704485605,11.533100952053529
20,0.06666740741563795,11.316145844553528
21,0.07000077778641985,10.940088109553527
22,0.07333414815720174,10.446881319553528
23,0.07666751852798363,10.063025117053527
24,0.08000088889876554,9.677838502053527
25,0.08333425926954743,9.221552494553528
26,0.08666762964032933,8.745660767053527
27,0.09000100001111123,8.155174164553527
28,0.09333437038189313,7.5482004420535285
29,0.09666774075267502,6.898458619553527
30,0.10000111112345691,6.248771729553527
31,0.10333448149423882,5.6593698770535275
32,0.10666785186502072,5.0330673845535285
33,0.11000122223580261,4.420107104553528
34,0.11333459260658452,3.792548584553528
35,0.11666796297736641,3.106012939553528
36,0.1200013333481483,2.6027915445535275
37,0.1233347037189302,2.008347554553528
38,0.1266680740897121,1.4331718120535277
39,0.130001444460494,0.9436497195535278
40,0.1333348148312759,0.40563674705352776
41,0.13666818520205778,-0.07150260294647219
42,0.1400015555728397,-0.5010908504464722
43,0.1433349259436216,-0.9646522079464722
44,0.14666829631440348,-1.4735520379464724
45,0.1500016666851854,-1.9599149829464726
46,0.15333503705596727,-2.379552167946472
47,0.15666840742674917,-2.851725820446472
48,0.16000177779753108,-3.345231755446472
49,0.16333514816831296,-3.907308552946472
50,0.16666851853909487,-4.4421611154464715
51,0.17000188890987677,-4.980639965446472
52,0.17333525928065865,-5.503506637946472
53,0.17666862965144056,-6.048936782946472
54,0.18000200002222247,-6.642008755446471
55,0.18333537039300435,-7.213330475446472
56,0.18666874076378626,-7.872596525446472
57,0.19000211113456816,-8.419956602946474
58,0.19333548150535004,-9.025748227946472
59,0.19666885187613195,-9.505985045446472
60,0.20000222224691383,-9.945131162946472
61,0.20333559261769574,-10.486545957946474
62,0.20666896298847764,-10.959298185446473
63,0.21000233335925952,-11.388087705446473
64,0.21333570373004143,-11.786818785446473
65,0.21666907410082334,-12.083205807946474
66,0.22000244447160522,-12.308784115446473
67,0.22333581484238713,-12.424093565446473
68,0.22666918521316903,-12.511677185446473
69,0.2300025555839509,-12.718348937946473
70,0.23333592595473282,-12.853767027946473
71,0.2366692963255147,-12.961802305446472
72,0.2400026666962966,-12.997752625446473
73,0.24333603706707851,-12.971937190446472
74,0.2466694074378604,-13.009040160446473
75,0.25000277780864233,-13.046166017946472
76,0.2533361481794242,-13.081366817946472
77,0.2566695185502061,-13.147983335446472
78,0.260002888920988,-13.171330502946473
79,0.2633362592917699,-13.136244140446472
80,0.2666696296625518,-13.138061765446473
81,0.27000300003333366,-13.121863950446475
82,0.27333637040411557,-13.059546752946472
83,0.2766697407748975,-13.016360105446473
84,0.2800031111456794,-13.000330442946474
85,0.2833364815164613,-12.997420895446472
86,0.2866698518872432,-12.992845702946473
87,0.29000322225802505,-12.872863707946472
88,0.29333659262880696,-12.750544370446471
89,0.29666996299958887,-12.599631285446472
90,0.3000033333703708,-12.336913390446473
91,0.3033367037411527,-11.921365600446473
92,0.30667007411193453,-11.650112242946474
93,0.31000344448271644,-11.328195432946472
94,0.31333681485349835,-10.896135192946474
95,0.31667018522428025,-10.492117247946474
96,0.32000355559506216,-10.054097077946473
97,0.32333692596584407,-9.498150877946472
98,0.3266702963366259,-8.887934507946474
99,0.33000366670740783,-8.295999692946474
100,0.33333703707818974,-7.698461392946473
101,0.33667040744897164,-7.204659515446472
102,0.34000377781975355,-6.702116787946472
103,0.3433371481905354,-6.142419750446472
104,0.3466705185613173,-5.504333967946472
105,0.3500038889320992,-5.014272015446472
106,0.3533372593028811,-4.554157272946472
107,0.35667062967366303,-4.118141492946472
108,0.36000400004444494,-3.638277030446472
109,0.3633373704152268,-3.1058908979464723
110,0.3666707407860087,-2.5969431629464723
111,0.3700041111567906,-2.157474167946472
112,0.3733374815275725,-1.7538877554464722
113,0.3766708518983544,-1.2668470504464722
114,0.3800042222691363,-0.7170311029464722
115,0.3833375926399182,-0.2012025379464722
116,0.3866709630107001,0.2942841945535277
117,0.390004333381482,0.8728642045535279
118,0.3933377037522639,1.4641556370535276
119,0.3966710741230458,2.103331372053528
120,0.40000444449382766,2.629925599553528
121,0.40333781486460957,3.160695557053528
122,0.4066711852353915,3.6886087645535275
123,0.4100045556061734,4.351105714553529
124,0.4133379259769553,4.9818204370535275
125,0.4166712963477372,5.556399827053528
126,0.42000466671851905,6.186369919553528
127,0.42333803708930096,6.850289677053529
128,0.42667140746008286,7.460258547053527
129,0.43000477783086477,8.071476807053529
130,0.4333381482016467,8.612168184553527
131,0.43667151857242853,9.108174807053526
132,0.44000488894321044,9.556276462053528
133,0.44333825931399234,9.958587252053528
134,0.44667162968477425,10.411286074553527
135,0.45000500005555616,10.769382539553527
136,0.45333837042633807,11.099122682053528
137,0.4566717407971199,11.354004884553527
138,0.4600051111679018,11.485159669553527
139,0.46333848153868373,11.598561769553527
140,0.46667185190946564,11.777050537053528
141,0.47000522228024755,11.981143252053528
